,latitude,longitude,area,area_name,country_name
160,12.865416,-85.207229,NICARAGUA,Nicaragua,NICARAGUA
161,52.132633,5.291266,NETHERLANDS,Netherlands,NETHERLANDS
162,60.472024,8.468946,NORWAY,Norway,NORWAY
163,28.394857,84.12400799999998,NEPAL,Nepal,NEPAL
164,-0.522778,166.931503,NAURU,Nauru,NAURU
165,-19.054445,-169.867233,NIUE,Niue,NIUE
166,-40.900557,174.88597099999996,NEW ZEALAND,New Zealand,NEW ZEALAND
167,21.512583,55.92325500000001,OMAN,Oman,OMAN
168,8.537981,-80.782127,PANAMA,Panama,PANAMA
169,-9.189967,-75.015152,PERU,Peru,PERU
170,-17.679742,-149.40684299999995,FRENCH POLYNESIA,French Polynesia,FRENCH POLYNESIA
171,-6.314993,143.95555,PAPUA NEW GUINEA,Papua New Guinea,PAPUA NEW GUINEA
172,12.879721,121.774017,PHILIPPINES,Philippines,PHILIPPINES
173,30.375321000000003,69.345116,PAKISTAN,Pakistan,PAKISTAN
174,51.919438,19.145136,POLAND,Poland,POLAND
175,46.941936,-56.27111,SAINT PIERRE AND MIQUELON,Saint Pierre and Miquelon,SAINT PIERRE AND MIQUELON
176,-24.703615,-127.439308,PITCAIRN ISLANDS,Pitcairn Islands,PITCAIRN ISLANDS
177,18.220833,-66.590149,PUERTO RICO,Puerto Rico,PUERTO RICO
178,31.952162,35.233154,PALESTINIAN TERRITORIES,Palestinian Territories,PALESTINIAN TERRITORIES
179,39.399872,-8.224454,PORTUGAL,Portugal,PORTUGAL
180,7.51498,134.58252,PALAU,Palau,PALAU
181,-23.442503,-58.44383199999999,PARAGUAY,Paraguay,PARAGUAY
182,25.354826,51.183884,QATAR,Qatar,QATAR
183,-21.115141,55.536384,R?UNION,R?union,R?UNION
184,45.943161,24.96676,ROMANIA,Romania,ROMANIA
185,44.016521,21.005859,SERBIA,Serbia,SERBIA
186,61.52401,105.318756,RUSSIA,Russia,RUSSIA
187,-1.940278,29.873888,RWANDA,Rwanda,RWANDA
188,23.885942,45.079162,SAUDI ARABIA,Saudi Arabia,SAUDI ARABIA
189,-9.64571,160.156194,SOLOMON ISLANDS,Solomon Islands,SOLOMON ISLANDS
190,-4.679574,55.491977,SEYCHELLES,Seychelles,SEYCHELLES
191,12.862807,30.217636,SUDAN,Sudan,SUDAN
192,60.128161,18.643501,SWEDEN,Sweden,SWEDEN
193,1.352083,103.819836,SINGAPORE,Singapore,SINGAPORE
194,-24.143474,-10.030696,SAINT HELENA,Saint Helena,SAINT HELENA
